game_id,season,week,away_team,home_team,away_score,home_score,gameday,roof,surface,game,home_dvoa,away_dvoa,dvoa_diff,home_rest_days,away_rest_days
2024_01_BAL_KC,2024,1,BAL,KC,20.0,27.0,2024-09-05,outdoors,grass,BAL @ KC,0.147,0.414,-0.267,,
2024_01_GB_PHI,2024,1,GB,PHI,29.0,34.0,2024-09-06,outdoors,,GB @ PHI,0.213,0.245,-0.032,,
2024_01_PIT_ATL,2024,1,PIT,ATL,18.0,10.0,2024-09-08,closed,fieldturf,PIT @ ATL,-0.073,0.063,-0.136,,
2024_01_ARI_BUF,2024,1,ARI,BUF,28.0,34.0,2024-09-08,outdoors,a_turf,ARI @ BUF,0.2269999999999999,0.088,0.1389999999999999,,
2024_01_TEN_CHI,2024,1,TEN,CHI,17.0,24.0,2024-09-08,outdoors,grass,TEN @ CHI,-0.127,0.335,-0.462,,
2024_01_NE_CIN,2024,1,NE,CIN,16.0,10.0,2024-09-08,outdoors,fieldturf,NE @ CIN,0.07,-0.297,0.367,,
2024_01_HOU_IND,2024,1,HOU,IND,29.0,27.0,2024-09-08,closed,fieldturf,HOU @ IND,-0.071,0.053,-0.124,,
2024_01_JAX_MIA,2024,1,JAX,MIA,17.0,20.0,2024-09-08,outdoors,grass,JAX @ MIA,-0.098,-0.177,0.0789999999999999,,
2024_01_CAR_NO,2024,1,CAR,NO,10.0,47.0,2024-09-08,dome,sportturf,CAR @ NO,-0.106,-0.3289999999999999,0.2229999999999999,,
2024_01_MIN_NYG,2024,1,MIN,NYG,28.0,6.0,2024-09-08,outdoors,fieldturf,MIN @ NYG,-0.2189999999999999,0.161,-0.38,,
2024_01_LV_LAC,2024,1,LV,LAC,10.0,22.0,2024-09-08,dome,matrixturf,LV @ LAC,0.126,-0.196,0.322,,
2024_01_DEN_SEA,2024,1,DEN,SEA,20.0,26.0,2024-09-08,outdoors,fieldturf,DEN @ SEA,0.023,0.163,-0.14,,
2024_01_DAL_CLE,2024,1,DAL,CLE,33.0,17.0,2024-09-08,outdoors,grass,DAL @ CLE,-0.3989999999999999,-0.1159999999999999,-0.283,,
2024_01_WAS_TB,2024,1,WAS,TB,20.0,37.0,2024-09-08,outdoors,grass,WAS @ TB,0.094,0.115,-0.021,,
2024_01_LA_DET,2024,1,LA,DET,20.0,26.0,2024-09-08,dome,fieldturf,LA @ DET,0.348,,,,
2024_01_NYJ_SF,2024,1,NYJ,SF,19.0,32.0,2024-09-09,outdoors,grass,NYJ @ SF,0.067,-0.114,0.181,,
2024_02_BUF_MIA,2024,2,BUF,MIA,31.0,10.0,2024-09-12,outdoors,grass,BUF @ MIA,-0.098,0.2269999999999999,-0.3249999999999999,4,4
2024_02_LV_BAL,2024,2,LV,BAL,26.0,23.0,2024-09-15,outdoors,grass,LV @ BAL,0.414,-0.196,0.61,10,7
2024_02_LAC_CAR,2024,2,LAC,CAR,26.0,3.0,2024-09-15,outdoors,grass,LAC @ CAR,-0.3289999999999999,0.126,-0.4549999999999999,7,7
